"Sample","% NC Incomplete Insertion","% NC Incomplete Deletion","% No Edit","% Insertion","% Incomplete Insertion","% Deletion","% Incomplete Deletion","Total number of events","Average events per normalized read"
"WT MGA",5.57276842105263,2.91022105263158,62.8482894736842,24.0247684210526,2.16717368421053,2.29102105263158,0.185757894736842,7058825,7.058825
"L270R MGA",11.5131904951403,0.219299919205293,68.421027423832,13.8706106792487,4.66008775680977,0.767541822484592,0.548241903279299,6000007,6.000007
